ChevronRight48: 0xf2b3
ChevronUp12: 0xf2b4
ChevronUp16: 0xf2b5
ChevronUp20: 0xf2b6
ChevronUp24: 0xf2b7
ChevronUp28: 0xf2b8
ChevronUp48: 0xf2b9
Circle16: 0xf2ba
Circle20: 0xf2bb
Circle24: 0xf2bc
CircleHalfFill20: 0xf2bd
CircleHalfFill24: 0xf2be
CircleLine24: 0xf2bf
CircleSmall24: 0xf2c0
City16: 0xf2c1
City20: 0xf2c2
Calendar3Day24: 0xf20f
Class24: 0xf2c4
Classification16: 0xf2c5
Classification20: 0xf2c6
Classification24: 0xf2c7
ClearFormatting24: 0xf2c8
Clipboard20: 0xf2c9
Clipboard24: 0xf2ca
ClipboardCode16: 0xf2cb
ClipboardCode20: 0xf2cc
ClipboardCode24: 0xf2cd
ClipboardLetter16: 0xf2ce
ClipboardLetter20: 0xf2cf
ClipboardLetter24: 0xf2d0
ClipboardLink16: 0xf2d1
ClipboardLink20: 0xf2d2
ClipboardLink24: 0xf2d3
ClipboardMore24: 0xf2d4
ClipboardPaste20: 0xf2d5
ClipboardPaste24: 0xf2d6
ClipboardSearch20: 0xf2d7
ClipboardSearch24: 0xf2d8
Clock12: 0xf2db
Clock16: 0xf2dc
Clock20: 0xf2dd
Clock24: 0xf2de
Clock28: 0xf2df
Clock48: 0xf2e0
ClockAlarm20: 0xf2e1
ClockAlarm24: 0xf2e2
ClosedCaption24: 0xf2e3
Cloud20: 0xf2e4
Cloud24: 0xf2e5
Cloud48: 0xf2e6
CloudBackup24: 0xf2e7
CloudBackup48: 0xf2e8
CloudDownload24: 0xf2e9
CloudOff24: 0xf2ea
CloudOff48: 0xf2eb
CloudOffline24: 0xf2ec
CloudSyncComplete24: 0xf2ed
CloudSyncComplete48: 0xf2ee
Code20: 0xf2ef
Code24: 0xf2f0
Collections20: 0xf2f1
Collections24: 0xf2f2
CollectionsAdd20: 0xf2f3
CollectionsAdd24: 0xf2f4
Color20: 0xf2f5
CalendarWeekStart28: 0xf242
ColorBackground20: 0xf2f7
ColorBackground24: 0xf2f8
ColorFill20: 0xf2f9
ColorFill24: 0xf2fa
ColorLine20: 0xf2fb
ColorLine24: 0xf2fc
Comment20: 0xf2ff
Comment16: 0xf2fe
ColumnTriple24: 0xf2fd
Comment24: 0xf300
CommentAdd24: 0xf301
CommentMention20: 0xf304
CommentMention24: 0xf305
CommentMultiple16: 0xf306
CommentMultiple20: 0xf307
CommentMention16: 0xf303
CommentMultiple24: 0xf308
Communication16: 0xf30c
Communication20: 0xf30d
Communication24: 0xf30e
CompassNorthwest16: 0xf30f
CompassNorthwest20: 0xf310
CompassNorthwest24: 0xf311
Compose16: 0xf313
Compose20: 0xf314
CompassNorthwest28: 0xf312
Compose24: 0xf315
Compose28: 0xf316
ConferenceRoom16: 0xf317
ConferenceRoom24: 0xf319
ConferenceRoom20: 0xf318
ConferenceRoom28: 0xf31a
ConferenceRoom48: 0xf31b
Connector16: 0xf31c
Connector20: 0xf31d
Connector24: 0xf31e
ContactCard20: 0xf31f
ContactCard24: 0xf320
ContactCardGroup24: 0xf321
ContentSettings16: 0xf323
ContentSettings20: 0xf324
ConvertToTable24: 0xf326
ContentSettings24: 0xf325
ConvertToText24: 0xf327
Cookies20: 0xf328
Copy16: 0xf32a
Copy20: 0xf32b
Cookies24: 0xf329
Copy24: 0xf32c
Crop24: 0xf331
CropInterimOff24: 0xf333
CropInterim24: 0xf332
Cube16: 0xf334
Cube20: 0xf335
Cube24: 0xf336
Cut20: 0xf33a
Cut24: 0xf33b
DarkTheme24: 0xf33c
DataArea24: 0xf33d
DataBarHorizontal24: 0xf33e
DataBarVertical24: 0xf340
DataBarVertical20: 0xf33f
DataFunnel24: 0xf341
DataHistogram24: 0xf342
DataLine24: 0xf343
DataPie20: 0xf344
DataPie24: 0xf345
DataScatter24: 0xf346
DataSunburst24: 0xf347
DataTreemap24: 0xf348
DataUsage24: 0xf349
DataWaterfall24: 0xf34a
DataWhisker24: 0xf34b
Delete20: 0xf34c
Delete24: 0xf34d
City24: 0xf2c3
Delete48: 0xf34f
DeleteOff20: 0xf352
DeleteOff24: 0xf353
Dentist24: 0xf354
DesignIdeas16: 0xf355
DesignIdeas24: 0xf357
Desktop16: 0xf358
DesignIdeas20: 0xf356
Desktop20: 0xf359
Desktop24: 0xf35a
Delete28: 0xf34e
Dialpad20: 0xf35e
DeveloperBoard24: 0xf35c
DeviceEq24: 0xf35d
Dialpad24: 0xf35f
DialpadOff24: 0xf360
Directions20: 0xf365
Dismiss12: 0xf367
Dismiss16: 0xf368
Directions24: 0xf366
Dismiss20: 0xf369
Dismiss24: 0xf36a
Dismiss28: 0xf36b
DismissCircle20: 0xf36d
DismissCircle24: 0xf36e
DismissCircle16: 0xf36c
DismissCircle48: 0xf36f
DividerShort24: 0xf370
DividerTall24: 0xf371
DockRow24: 0xf376
Doctor24: 0xf377
Dock24: 0xf372
Document24: 0xf379
CallForward24: 0xf24a
Document28: 0xf37a
DocumentBriefcase20: 0xf37c
DocumentBriefcase24: 0xf37d
DocumentCatchUp24: 0xf37e
DocumentCopy16: 0xf37f
DocumentCopy20: 0xf380
DocumentCopy24: 0xf381
